code;nom;latitude;longitude;region;statut;zone_hta;zone_complete
AIGU6;AIGUEPERSE;46.0259348559763;3.19730237100651;AUVERGNE-RHôNE-ALPES;Disponible;Poste en zones de soutirage HTA;Poste en zones de soutirage HTA et HTB
A.MOR;AIGUES-MORTES;43.5660873320674;4.19788517093906;OCCITANIE;Disponible;Poste en zones de soutirage HTA;Poste en zones de soutirage HTA et HTB
AIGUR;AIGURANDE;46.4502317329803;1.82633255088611;CENTRE-VAL DE LOIRE;Saturé;Poste en zones d'injection photovoltaïque HTA;Poste en zones d'injection photovoltaïque HTA et HTB
AILLA;AILLAS;44.5145182170272;-0.0516238058647804;NOUVELLE-AQUITAINE;Disponible;Poste pas concernée par des contraintes locales de réseau;Poste pas concernée par des contraintes locales de réseau
AILLE;AILLEVILLE;48.2488107756211;4.68922259336606;GRAND EST;Disponible;Poste en zones d'injection photovoltaïque HTA;Poste en zones d'injection photovoltaïque HTA et HTB
AIME;AIME;45.5527144878051;6.65967174893703;AUVERGNE-RHôNE-ALPES;Disponible;Poste en zones de soutirage HTA;Poste en zones de soutirage HTA et HTB
AIRAI;AIRAINES;49.9592763002185;1.95589946422626;HAUTS-DE-FRANCE;Disponible;Poste pas concernée par des contraintes locales de réseau;Poste pas concernée par des contraintes locales de réseau
AIRE;AIRE;50.6443190612966;2.39602170890532;HAUTS-DE-FRANCE;Disponible;Poste pas concernée par des contraintes locales de réseau;Poste pas concernée par des contraintes locales de réseau
ADOUR;AIRE SUR ADOUR 2;43.7439856546993;-0.276465960730588;NOUVELLE-AQUITAINE;Disponible;Poste pas concernée par des contraintes locales de réseau;Poste pas concernée par des contraintes locales de réseau
A.ADO;AIRE-SUR-ADOUR;43.7068197648551;-0.261998710802912;NOUVELLE-AQUITAINE;Disponible;Poste pas concernée par des contraintes locales de réseau;Poste pas concernée par des contraintes locales de réseau
AIVDT;AIRVAUDAIS ET VAL DU THOUET;46.8279377596683;-0.206763933318514;NOUVELLE-AQUITAINE;En construction (déduit selon data Capareseau);Poste pas concernée par des contraintes locales de réseau;Poste pas concernée par des contraintes locales de réseau
AIRV2;AIRVAULT;46.8237187575753;-0.125177676842228;NOUVELLE-AQUITAINE;Disponible;Poste pas concernée par des contraintes locales de réseau;Poste en zones d'injection photovoltaïque HTB
AIRVA;AIRVAULT;46.8267322409085;-0.12503645199774;NOUVELLE-AQUITAINE;Disponible;Poste pas concernée par des contraintes locales de réseau;Poste en zones d'injection photovoltaïque HTB
AIX;AIX;43.5322849334192;5.45515520252866;PROVENCE-ALPES-CôTE D’AZUR;Disponible;Poste en zones de soutirage HTA;Poste en zones de soutirage HTA et HTB
A.MOU;AIX MOURET;43.520007306418;5.43516863940886;PROVENCE-ALPES-CôTE D’AZUR;Disponible;Poste en zones de soutirage HTA;Poste en zones de soutirage HTA et HTB
A.OTH;AIX-EN-OTHE;48.2340182406437;3.72291771026495;GRAND EST;Disponible;Poste pas concernée par des contraintes locales de réseau;Poste pas concernée par des contraintes locales de réseau
A.BAI;AIX-LES-BAINS;45.6944289276049;5.91244908723541;AUVERGNE-RHôNE-ALPES;Disponible;Poste en zones de soutirage HTA;Poste en zones de soutirage HTA et HTB
ALBE5;ALBERT;50.0047097046929;2.6346593341563;HAUTS-DE-FRANCE;Disponible;Poste pas concernée par des contraintes locales de réseau;Poste pas concernée par des contraintes locales de réseau
ALBER;ALBERTVILLE;45.6618036700801;6.41785996672092;AUVERGNE-RHôNE-ALPES;Disponible;Poste pas concernée par des contraintes locales de réseau;Poste en zones de soutirage HTB
ALBIO;ALBION;44.0674418797331;5.48583667599711;PROVENCE-ALPES-CôTE D’AZUR;En construction (déduit selon data Capareseau);Poste pas concernée par des contraintes locales de réseau;Poste pas concernée par des contraintes locales de réseau
ALENC;ALENCON;48.432480105025;0.0572628948920723;NORMANDIE;Disponible;Poste en zones de soutirage HTA;Poste en zones de soutirage HTA et HTB
ALERI;ALERIE;49.296150848723;-1.27113950653643;NORMANDIE;Disponible;Poste en zones de soutirage HTA;Poste en zones de soutirage HTA et HTB
ALESI;ALESIA;48.8257968268425;2.33623009805243;ÎLE-DE-FRANCE;Disponible;Poste en zones de soutirage HTA;Poste en zones de soutirage HTA et HTB
ALGER;ALGER;49.089859712284;6.1214607419046;GRAND EST;Disponible;Poste pas concernée par des contraintes locales de réseau;Poste pas concernée par des contraintes locales de réseau
ALLAI;ALLAIRE;47.6509818164482;-2.21665809635116;BRETAGNE;Disponible;Poste en zones de soutirage HTA;Poste en zones de soutirage HTA et HTB
ALLEM;ALLEMENT;46.1118668818635;5.42224940204371;AUVERGNE-RHôNE-ALPES;Disponible;Poste pas concernée par des contraintes locales de réseau;Poste pas concernée par des contraintes locales de réseau
ALLEU;ALLEUX;49.6647766958944;1.93513249888831;HAUTS-DE-FRANCE;Disponible;Poste pas concernée par des contraintes locales de réseau;Poste pas concernée par des contraintes locales de réseau
ALLIE;ALLIERES;46.0296132400411;4.49698187035897;AUVERGNE-RHôNE-ALPES;Disponible;Poste en zones de soutirage HTA;Poste en zones de soutirage HTA et HTB
ALLIN;ALLINGES;46.3303754656039;6.47933715808621;AUVERGNE-RHôNE-ALPES;Disponible;Poste pas concernée par des contraintes locales de réseau;Poste en zones de soutirage HTB
ALMA;ALMA;48.8649165862414;2.30412830733026;ÎLE-DE-FRANCE;Disponible;Poste en zones de soutirage HTA;Poste en zones de soutirage HTA et HTB
ALOUE;ALOUETTES(LES);48.8563916319021;2.49416284211348;ÎLE-DE-FRANCE;Disponible;Poste en zones de soutirage HTA;Poste en zones de soutirage HTA et HTB
A.HUE;ALPE-D HUEZ;45.0872361991983;6.07178100522679;AUVERGNE-RHôNE-ALPES;Disponible;Poste en zones de soutirage HTA;Poste en zones de soutirage HTA et HTB
ALSAC;ALSACE;48.8908310985018;2.24834397165797;ÎLE-DE-FRANCE;Disponible;Poste en zones de soutirage HTA;Poste en zones de soutirage HTA et HTB
ALTEN;ALTENSTADT;49.0115250970056;7.97134054680994;GRAND EST;Disponible;Poste pas concernée par des contraintes locales de réseau;Poste pas concernée par des contraintes locales de réseau
ALTKI;ALTKIRCH;47.6274011098428;7.22502064760084;GRAND EST;Disponible;Poste pas concernée par des contraintes locales de réseau;Poste pas concernée par des contraintes locales de réseau
ALTOR;ALTORF;48.5393639708493;7.56653602305281;GRAND EST;Disponible;Poste pas concernée par des contraintes locales de réseau;Poste pas concernée par des contraintes locales de réseau
AMANV;AMANVILLERS;49.1700342369151;6.05027504721931;GRAND EST;Disponible;Poste pas concernée par des contraintes locales de réseau;Poste pas concernée par des contraintes locales de réseau
AMARG;AMARGUE;49.8579691636271;2.25371131871724;HAUTS-DE-FRANCE;Disponible;Poste pas concernée par des contraintes locales de réseau;Poste pas concernée par des contraintes locales de réseau
AMARI;AMARIN;47.8731458102839;7.0249254250932;GRAND EST;Disponible;Poste en zones de soutirage HTA;Poste en zones de soutirage HTA et HTB
AMBER;AMBERIEU;45.956575046435;5.3289488639634;AUVERGNE-RHôNE-ALPES;Disponible;Poste en zones de soutirage HTA;Poste en zones de soutirage HTA et HTB
AMBE5;AMBERT;45.5738478573269;3.74654578848563;AUVERGNE-RHôNE-ALPES;Disponible;Poste en zones de soutirage HTA;Poste en zones de soutirage HTA et HTB
AMBON;AMBON;47.5455133429016;-2.5218272365158;BRETAGNE;Disponible;Poste en zones de soutirage HTA;Poste en zones de soutirage HTA et HTB
AMELE;AMELECOURT (CHATEAU-SALINS);48.8305027354516;6.49604848663959;GRAND EST;Disponible;Poste pas concernée par des contraintes locales de réseau;Poste pas concernée par des contraintes locales de réseau
AMELO;AMELOT (AEROPORT PARIS NORD);49.0483362657129;2.53938386453867;ÎLE-DE-FRANCE;Disponible;Poste en zones de soutirage HTA;Poste en zones de soutirage HTA et HTB
AMIEN;AMIENS;49.9116102492058;2.29362085023319;HAUTS-DE-FRANCE;Disponible;Poste pas concernée par des contraintes locales de réseau;Poste pas concernée par des contraintes locales de réseau
AMILL;AMILLY;47.9689075545725;2.79001586382037;CENTRE-VAL DE LOIRE;Disponible;Poste en zones d'injection photovoltaïque HTA;Poste en zones d'injection photovoltaïque HTA et HTB
AMNEV;AMNEVILLE;49.2654834872353;6.1444200772739;GRAND EST;Disponible;Poste pas concernée par des contraintes locales de réseau;Poste en zones de soutirage HTB
AMPE5;AMPERE;45.9874666564717;4.72999765376124;AUVERGNE-RHôNE-ALPES;Disponible;Poste en zones de soutirage HTA;Poste en zones de soutirage HTA et HTB
AMPER;AMPERE;48.9220242738287;2.33591014008038;ÎLE-DE-FRANCE;Disponible;Poste en zones de soutirage HTA;Poste en zones de soutirage HTA et HTB
AMPLE;AMPLEPUIS;45.9793414676503;4.31852937038545;AUVERGNE-RHôNE-ALPES;Disponible;Poste en zones de soutirage HTA;Poste en zones de soutirage HTA et HTB
AMPUI;AMPUIS;45.4981354258216;4.82489369556248;AUVERGNE-RHôNE-ALPES;Disponible;Poste pas concernée par des contraintes locales de réseau;Poste pas concernée par des contraintes locales de réseau
ANCEL;ANCELPONT;44.8216400520658;3.63536218231321;OCCITANIE;Disponible;Poste en zones d'injection photovoltaïque HTA;Poste en zones d'injection photovoltaïque HTA et HTB
ANCEN;ANCENIS;47.3776580099879;-1.17984237161047;PAYS DE LA LOIRE;Disponible;Poste en zones d'injection photovoltaïque HTA;Poste en zones d'injection photovoltaïque HTA
ANCER;ANCERVILLE;49.0461083800835;6.40775748300082;GRAND EST;Disponible;Poste pas concernée par des contraintes locales de réseau;Poste en zones de soutirage HTB
A.VOU;ANCHE-VOULON;46.3490426039604;0.249903985194085;NOUVELLE-AQUITAINE;Disponible;Poste pas concernée par des contraintes locales de réseau;Poste pas concernée par des contraintes locales de réseau
ANDUZ;ANDUZE;44.0415965348261;3.98514351126486;OCCITANIE;Disponible;Poste en zones de soutirage HTA;Poste en zones de soutirage HTA et HTB
ANGEL;ANGELIQUE;47.7335526568117;1.95667784962038;CENTRE-VAL DE LOIRE;Disponible;Poste en zones de soutirage HTA;Poste en zones de soutirage HTA et HTB
ANGER;ANGERS;47.4809812298382;-0.549523196586316;PAYS DE LA LOIRE;Disponible;Poste en zones de soutirage HTA;Poste en zones de soutirage HTA et HTB
ANGRE;ANGRESSE;43.6583981045617;-1.37368450814259;NOUVELLE-AQUITAINE;Disponible;Poste en zones de soutirage HTA;Poste en zones de soutirage HTA et HTB
ANNA;ANNA;47.7988942729979;7.32579460987422;GRAND EST;Disponible;Poste en zones de soutirage HTA;Poste en zones de soutirage HTA et HTB
ANNAY;ANNAY;47.7330392829877;3.9630198381167;BOURGOGNE-FRANCHE-COMTé;Saturé;Poste en zones d'injection photovoltaïque HTA;Poste en zones d'injection photovoltaïque HTA et HTB
ANNEM;ANNEMASSE;46.1836371584055;6.23304448027673;AUVERGNE-RHôNE-ALPES;Disponible;Poste en zones de soutirage HTA;Poste en zones de soutirage HTA et HTB
ANNEY;ANNEYRON;45.2690600766597;4.85867140709432;AUVERGNE-RHôNE-ALPES;Disponible;Poste en zones de soutirage HTA;Poste en zones de soutirage HTA et HTB
ANOUL;ANOULD;48.1846467059089;6.96040340895026;GRAND EST;Disponible;Poste en zones de soutirage HTA;Poste en zones de soutirage HTA et HTB
ANSER;ANSEREUILLES(LES);50.5538174739454;2.93820644853969;HAUTS-DE-FRANCE;Disponible;Poste en zones de soutirage HTA;Poste en zones de soutirage HTA et HTB
ANSTA;ANSTAING;50.6068062028416;3.18375417184597;HAUTS-DE-FRANCE;Disponible;Poste en zones de soutirage HTA;Poste en zones de soutirage HTA et HTB
ANTIB;ANTIBES;43.5841570240905;7.10089350751053;PROVENCE-ALPES-CôTE D’AZUR;Disponible;Poste en zones de soutirage HTA;Poste en zones de soutirage HTA et HTB
ANTIF;ANTIFER;49.6581612302679;0.159586327661565;NORMANDIE;Disponible;Poste pas concernée par des contraintes locales de réseau;Poste pas concernée par des contraintes locales de réseau
AOSTE;AOSTE;45.5833481093173;5.61131700329317;AUVERGNE-RHôNE-ALPES;Disponible;Poste en zones de soutirage HTA;Poste en zones de soutirage HTA et HTB
APT;APT;43.8895651571362;5.37597209066943;PROVENCE-ALPES-CôTE D’AZUR;Disponible;Poste pas concernée par des contraintes locales de réseau;Poste pas concernée par des contraintes locales de réseau
AQUED;AQUEDUCS (LES);48.5939634333;2.42900810082963;ÎLE-DE-FRANCE;Disponible;Poste pas concernée par des contraintes locales de réseau;Poste en zones de soutirage HTB
ARACH;ARACHES;46.0171570286233;6.63492057553857;AUVERGNE-RHôNE-ALPES;Disponible;Poste en zones de soutirage HTA;Poste en zones de soutirage HTA et HTB
ARBOI;ARBOIS;46.900597750557;5.75223783474639;BOURGOGNE-FRANCHE-COMTé;Disponible;Poste en zones de soutirage HTA;Poste en zones de soutirage HTA et HTB
ARC18;ARC 1800;45.5790125569462;6.78181367591943;AUVERGNE-RHôNE-ALPES;Disponible;Poste en zones de soutirage HTA;Poste en zones de soutirage HTA et HTB
ARCAC;ARCACHON;44.6570747142818;-1.16412703419678;NOUVELLE-AQUITAINE;Disponible;Poste pas concernée par des contraintes locales de réseau;Poste pas concernée par des contraintes locales de réseau
ARCHI;ARCHINGEAY;45.9180155200135;-0.704910182557796;NOUVELLE-AQUITAINE;Disponible;Poste en zones de soutirage HTA;Poste en zones de soutirage HTA et HTB
ARCIS;ARCIS-SUR-AUBE;48.5326791951592;4.11484532751112;GRAND EST;Disponible;Poste pas concernée par des contraintes locales de réseau;Poste pas concernée par des contraintes locales de réseau
ARCOM;ARCOMIE;44.8660971353569;3.24980760215471;OCCITANIE;Disponible;Poste pas concernée par des contraintes locales de réseau;Poste pas concernée par des contraintes locales de réseau
ARDO5;ARDOINES (SNCF);48.7888653729361;2.40946206701949;ÎLE-DE-FRANCE;Disponible;Poste pas concernée par des contraintes locales de réseau;Poste pas concernée par des contraintes locales de réseau
ARDOI;ARDOISE;44.086175320823;4.70317322972318;OCCITANIE;Disponible;Poste pas concernée par des contraintes locales de réseau;Poste pas concernée par des contraintes locales de réseau
ARENC;ARENC;43.3219316788336;5.36689594578481;PROVENCE-ALPES-CôTE D’AZUR;Disponible;Poste en zones de soutirage HTA;Poste en zones de soutirage HTA et HTB
A.MER;ARGELES-SUR-MER;42.5491400646521;3.00765287480673;OCCITANIE;Disponible;Poste pas concernée par des contraintes locales de réseau;Poste pas concernée par des contraintes locales de réseau
ARGE8;ARGENTAN;48.7433669753006;-0.00980809751276827;NORMANDIE;Disponible;Poste en zones de soutirage HTA;Poste en zones de soutirage HTA et HTB
ARGE5;ARGENTAT;45.1046395366813;1.95352051477444;NOUVELLE-AQUITAINE;Disponible;Poste en zones d'injection photovoltaïque HTA;Poste en zones d'injection photovoltaïque HTA et HTB
ARGE6;ARGENTEUIL;48.9354066080133;2.24064702023218;ÎLE-DE-FRANCE;Disponible;Poste en zones de soutirage HTA;Poste en zones de soutirage HTA et HTB
A.PLE;ARGENTRE-DU-PLESSIS;48.0399203505356;-1.15445268725916;BRETAGNE;Disponible;Poste en zones de soutirage HTA;Poste en zones de soutirage HTA et HTB
ARGIA;ARGIA (BAYONNE SUD);43.4215867838953;-1.43017821602716;NOUVELLE-AQUITAINE;Disponible;Poste en zones de soutirage HTA;Poste en zones de soutirage HTA et HTB
ARGIE;ARGIESANS;47.6016341134888;6.81386341133695;BOURGOGNE-FRANCHE-COMTé;Disponible;Poste en zones de soutirage HTA;Poste en zones de soutirage HTA et HTB
ARGOE;ARGOEUVES;49.9381600971213;2.24762450359768;HAUTS-DE-FRANCE;Disponible;Poste pas concernée par des contraintes locales de réseau;Poste pas concernée par des contraintes locales de réseau
ARGON;ARGONAY;45.9413822584201;6.14951243431582;AUVERGNE-RHôNE-ALPES;Disponible;Poste pas concernée par des contraintes locales de réseau;Poste pas concernée par des contraintes locales de réseau
ARLES;ARLES;43.6622378027234;4.6484438160884;PROVENCE-ALPES-CôTE D’AZUR;Disponible;Poste pas concernée par des contraintes locales de réseau;Poste pas concernée par des contraintes locales de réseau
ARLE5;ARLES (SNCF);43.6762179270178;4.63631740407801;PROVENCE-ALPES-CôTE D’AZUR;Disponible;Poste pas concernée par des contraintes locales de réseau;Poste pas concernée par des contraintes locales de réseau
ARLOD;ARLOD;46.0972615006648;5.81776559996611;AUVERGNE-RHôNE-ALPES;Disponible;Poste pas concernée par des contraintes locales de réseau;Poste pas concernée par des contraintes locales de réseau
ARLY ;ARLY;45.7516411463926;6.43469854774047;AUVERGNE-RHôNE-ALPES;Disponible;Poste pas concernée par des contraintes locales de réseau;Poste pas concernée par des contraintes locales de réseau
R.MOL;ARM;48.5768583958901;7.73461946588409;GRAND EST;Disponible;Poste pas concernée par des contraintes locales de réseau;Poste pas concernée par des contraintes locales de réseau
ARMEN;ARMENTIERES;50.6808472659494;2.89801594921853;HAUTS-DE-FRANCE;Disponible;Poste pas concernée par des contraintes locales de réseau;Poste pas concernée par des contraintes locales de réseau
A.DOU;ARNAC-SUR-DOURDOU;43.7511988473809;2.96123209061149;OCCITANIE;Disponible;Poste pas concernée par des contraintes locales de réseau;Poste pas concernée par des contraintes locales de réseau
ARNAG;ARNAGE;47.9213705324232;0.18378959605699;PAYS DE LA LOIRE;Disponible;Poste en zones de soutirage HTA;Poste en zones de soutirage HTA et HTB
A.DUC;ARNAY-LE-DUC;47.1203296413492;4.48309510627778;BOURGOGNE-FRANCHE-COMTé;Disponible;Poste en zones d'injection photovoltaïque HTA;Poste en zones d'injection photovoltaïque HTA
ARNOU;ARNOULT;45.8194647065249;-0.84770826384642;NOUVELLE-AQUITAINE;Disponible;Poste en zones de soutirage HTA;Poste en zones de soutirage HTA et HTB
ARPAJ;ARPAJON;48.5972527128874;2.25439806785902;ÎLE-DE-FRANCE;Disponible;Poste en zones de soutirage HTA;Poste en zones de soutirage HTA et HTB
ARPEN;ARPENTS (LES);48.7092766820245;1.38395925668983;CENTRE-VAL DE LOIRE;Disponible;Poste en zones de soutirage HTA;Poste en zones de soutirage HTA et HTB
ARRAS;ARRAS;50.306995842315;2.76269466504325;HAUTS-DE-FRANCE;Disponible;Poste pas concernée par des contraintes locales de réseau;Poste pas concernée par des contraintes locales de réseau
ARREN;ARRENS;42.946656093716;-0.219214711787411;OCCITANIE;Disponible;Poste pas concernée par des contraintes locales de réseau;Poste pas concernée par des contraintes locales de réseau
ARRIG;ARRIGHI;48.785384943601;2.41408143454478;ÎLE-DE-FRANCE;Disponible;Poste pas concernée par des contraintes locales de réseau;Poste en zones de soutirage HTB
ARRIO;ARRIOSSE;43.639853033632;-1.02156387771831;NOUVELLE-AQUITAINE;Disponible;Poste en zones de soutirage HTA;Poste en zones de soutirage HTA et HTB
ARRO5;ARROUX;46.786458903091;4.17263620897862;BOURGOGNE-FRANCHE-COMTé;Disponible;Poste pas concernée par des contraintes locales de réseau;Poste pas concernée par des contraintes locales de réseau
ARSOT;ARSOT;47.6618185770809;6.85718686447411;BOURGOGNE-FRANCHE-COMTé;Disponible;Poste en zones de soutirage HTA;Poste en zones de soutirage HTA et HTB
ARTIG;ARTIGUES;42.9272382773669;0.203182730985404;OCCITANIE;Disponible;Poste pas concernée par des contraintes locales de réseau;Poste pas concernée par des contraintes locales de réseau
ARTOU;ARTOUSTE;42.8861936764297;-0.410888691837544;NOUVELLE-AQUITAINE;Disponible;Poste pas concernée par des contraintes locales de réseau;Poste pas concernée par des contraintes locales de réseau
ARUDY;ARUDY;43.0997784375072;-0.444006713523489;NOUVELLE-AQUITAINE;Disponible;Poste pas concernée par des contraintes locales de réseau;Poste pas concernée par des contraintes locales de réseau
ARVER;ARVERT;45.7476501429659;-1.11702989968076;NOUVELLE-AQUITAINE;Disponible;Poste en zones de soutirage HTA;Poste en zones de soutirage HTA et HTB
ARVIE;ARVIEU;44.1844320665536;2.66666560290065;OCCITANIE;Disponible;Poste en zones d'injection photovoltaïque HTA;Poste en zones d'injection photovoltaïque HTA et HTB
ASASP;ASASP;43.1088277995173;-0.624756470980229;NOUVELLE-AQUITAINE;Disponible;Poste pas concernée par des contraintes locales de réseau;Poste pas concernée par des contraintes locales de réseau
ASNIE;ASNIERES (SNCF MONOPHASE);48.904765862327;2.28426076887603;ÎLE-DE-FRANCE;Disponible;Poste pas concernée par des contraintes locales de réseau;Poste pas concernée par des contraintes locales de réseau
ASPR5;ASPRES;42.5500694796014;2.86043827407765;OCCITANIE;Disponible;Poste en zones d'injection photovoltaïque HTA;Poste en zones d'injection photovoltaïque HTA et HTB
A.DUR;ASSE-DURANCE;43.9208974148624;5.92419415972494;PROVENCE-ALPES-CôTE D’AZUR;Disponible;Poste pas concernée par des contraintes locales de réseau;Poste pas concernée par des contraintes locales de réseau
ASSIE;ASSIER;44.6686452917503;1.87760787294816;OCCITANIE;Disponible;Poste en zones d'injection photovoltaïque HTA;Poste en zones d'injection photovoltaïque HTA et HTB
ASTIL;ASTILLE;47.9585361333099;-0.882529489629313;PAYS DE LA LOIRE;Disponible;Poste en zones de soutirage HTA;Poste en zones de soutirage HTA et HTB
ASTON;ASTON;42.7778006432083;1.67590211062933;OCCITANIE;Disponible;Poste pas concernée par des contraintes locales de réseau;Poste pas concernée par des contraintes locales de réseau
ATHEL;ATHELIA;43.217395022441;5.60647132743345;PROVENCE-ALPES-CôTE D’AZUR;Disponible;Poste pas concernée par des contraintes locales de réseau;Poste pas concernée par des contraintes locales de réseau
AUBAG;AUBAGNE;43.2855841627414;5.59136051498479;PROVENCE-ALPES-CôTE D’AZUR;Disponible;Poste en zones de soutirage HTA;Poste en zones de soutirage HTA et HTB
AUBE;AUBE;48.7429097481136;0.557828269748194;NORMANDIE;Disponible;Poste en zones de soutirage HTA;Poste en zones de soutirage HTA et HTB
AUBEN;AUBENAS;44.6024091951181;4.40375848199943;AUVERGNE-RHôNE-ALPES;Disponible;Poste pas concernée par des contraintes locales de réseau;Poste pas concernée par des contraintes locales de réseau
AUBER;AUBERVILLE;49.5304825709356;0.584175696248956;NORMANDIE;Disponible;Poste pas concernée par des contraintes locales de réseau;Poste pas concernée par des contraintes locales de réseau
AUBE6;AUBERVILLIERS;48.9146657886366;2.38959964868245;ÎLE-DE-FRANCE;Disponible;Poste en zones de soutirage HTA;Poste en zones de soutirage HTA et HTB
AUBIG;AUBIGNE;47.2066484618043;-0.466112355584035;PAYS DE LA LOIRE;Disponible;Poste pas concernée par des contraintes locales de réseau;Poste pas concernée par des contraintes locales de réseau
AUBI5;AUBIGNY;47.4827411200578;2.42961555654463;CENTRE-VAL DE LOIRE;Disponible;Poste pas concernée par des contraintes locales de réseau;Poste pas concernée par des contraintes locales de réseau
AUBRA;Aubrac;44.662870466659;2.5855102463964;OCCITANIE;Disponible;Poste pas concernée par des contraintes locales de réseau;Poste pas concernée par des contraintes locales de réseau
AUBRI;AUBRIVES;49.4688243425029;5.91825913009632;GRAND EST;Disponible;Poste pas concernée par des contraintes locales de réseau;Poste pas concernée par des contraintes locales de réseau
AUBUS;AUBUSSON;45.9533802699489;2.19065193683379;NOUVELLE-AQUITAINE;Saturé;Poste en zones d'injection photovoltaïque HTA;Poste en zones d'injection photovoltaïque HTA et HTB
AUCH;AUCH;43.6513762778526;0.605393407900681;OCCITANIE;Disponible;Poste en zones d'injection photovoltaïque HTA;Poste en zones d'injection photovoltaïque HTA et HTB
AUDIE;AUDIERNE;48.0263952706717;-4.50303690987636;BRETAGNE;Disponible;Poste en zones de soutirage HTA;Poste en zones de soutirage HTA et HTB
AUDON;AUDON;43.8080769460479;-0.823453061494301;NOUVELLE-AQUITAINE;Disponible;Poste en zones d'injection photovoltaïque HTA;Poste en zones d'injection photovoltaïque HTA et en zone soutirage HTB
AULN5;AULNAY;46.0331666613174;-0.346765816750936;NOUVELLE-AQUITAINE;Disponible;Poste pas concernée par des contraintes locales de réseau;Poste pas concernée par des contraintes locales de réseau
AULNA;AULNAY-AUX-PLANCHES;48.8181917688762;3.97052297482829;GRAND EST;Disponible;Poste pas concernée par des contraintes locales de réseau;Poste pas concernée par des contraintes locales de réseau
AULNO;AULNOYE;50.199282212828;3.81613026480262;HAUTS-DE-FRANCE;Disponible;Poste en zones de soutirage HTA;Poste en zones de soutirage HTA et HTB
AUMAL;AUMALE;49.767622393099;1.75942904347566;NORMANDIE;Disponible;Poste pas concernée par des contraintes locales de réseau;Poste pas concernée par des contraintes locales de réseau
AUNEA;AUNEAU;48.4429003667095;1.776162653857;CENTRE-VAL DE LOIRE;Disponible;Poste pas concernée par des contraintes locales de réseau;Poste pas concernée par des contraintes locales de réseau
AURAY;AURAY;47.6879845648496;-2.99967347188744;BRETAGNE;Disponible;Poste en zones de soutirage HTA;Poste en zones de soutirage HTA et HTB
AUREE;AURE;42.8979830251752;0.35709144795322;OCCITANIE;Disponible;Poste pas concernée par des contraintes locales de réseau;Poste pas concernée par des contraintes locales de réseau
AUREI;AUREILHAN;43.2374912224792;0.0913332007296448;OCCITANIE;Disponible;Poste en zones de soutirage HTA;Poste en zones de soutirage HTA et HTB
AUREN;AURENCE;45.8356629243123;1.22225757858584;NOUVELLE-AQUITAINE;Disponible;Poste pas concernée par des contraintes locales de réseau;Poste pas concernée par des contraintes locales de réseau
